experiment,target_type,regression_bucket,observations,test_years,oos_r2_on_training_target,raw_return_spearman,target_spearman,top_quintile_mean_return,top_quintile_median_return,top_quintile_hit_rate,bottom_quintile_mean_return,top_minus_bottom_mean
spy_excess_raw_return,spy_excess_return,all,4605,10,0.04391198047689837,0.2788020010603072,0.1921840500534265,0.3661628200619962,0.2394949682422282,0.742671009771987,0.03301160967435588,0.3331512103876403
valuation_raw_return,raw_return,all,4605,10,0.0623771781428214,0.27652908388562364,0.27652908388562364,0.38305189427955794,0.268586168820448,0.747014115092291,0.028875340124584616,0.35417655415497334
valuation_top_quintile_target,top_quintile_target,all,4605,10,0.02298569360500402,0.244435646938801,0.17716067756153267,0.3699060511767416,0.2246213559417194,0.7307274701411509,0.04766607850052597,0.3222399726762156
sector_excess_raw_return,sector_excess_return,all,4561,10,0.03611778000229293,0.2440693696866116,0.15268735914059725,0.3335443623088459,0.2243824720897134,0.7447973713033954,0.0395757143813513,0.29396864792749455
valuation_rank_target,rank_target,all,4605,10,-0.0016770718418037678,0.21814550929195684,0.16280871067123273,0.321278516036582,0.2073138821497071,0.753528773072747,0.07388823539233876,0.24739028064424323
baseline_raw_return,raw_return,all,4605,10,0.03630131942049075,0.21174826604583608,0.21174826604583608,0.36271385840787396,0.2489209072195368,0.7372421281216069,0.06293559590929847,0.2997782624985755
sector_excess_rank_target,sector_excess_rank_target,all,4561,10,-0.00018102356365057304,0.17411531491209362,0.1442297239326978,0.29184131186605355,0.1977514501526376,0.7502738225629791,0.10493249775065853,0.186908814115395
baseline_top_quintile_target,top_quintile_target,all,4605,10,0.0013384345061357994,0.1649716343707343,0.11763305168054936,0.32392473151422485,0.1977514501526376,0.7024972855591748,0.0822161097834081,0.24170862173081675
baseline_rank_target,rank_target,all,4605,10,-0.03645652370426511,0.10419119355613601,0.022701778435015623,0.24366067818935555,0.1702907567421827,0.7046688382193268,0.1277066970859261,0.11595398110342944
sector_excess_raw_return,sector_excess_return,large_cap,2076,10,0.03417801876708615,0.2875656699619158,0.09531088069958456,0.48225558690850856,0.317952121508597,0.7908653846153846,0.07196065956959621,0.4102949273389124
valuation_raw_return,raw_return,large_cap,2101,10,0.06900000833788678,0.2838403934202998,0.2838403934202998,0.49659606418002583,0.3518579695485935,0.7767220902612827,0.07671197627882655,0.4198840879011993
spy_excess_raw_return,spy_excess_return,large_cap,2101,10,0.05256282376541577,0.2838191526368829,0.1681156833412725,0.47625579890981845,0.3330184431346719,0.7672209026128266,0.07598552422076389,0.4002702746890546
baseline_raw_return,raw_return,large_cap,2101,10,0.05760878252664969,0.247194748651053,0.247194748651053,0.46144150577885223,0.3145986796006006,0.7672209026128266,0.09679953794935145,0.36464196782950076
valuation_top_quintile_target,top_quintile_target,large_cap,2101,10,0.026703507445103747,0.23003756665968172,0.19738875123333188,0.42633826626758686,0.2675230495184879,0.7648456057007126,0.08753537348774446,0.33880289277984244
valuation_rank_target,rank_target,large_cap,2101,10,-0.011142613706304871,0.16854044854722341,0.16848431789024418,0.3895018724803756,0.2560845709268269,0.7790973871733967,0.1511815115671508,0.2383203609132248
baseline_top_quintile_target,top_quintile_target,large_cap,2101,10,0.007474413203469976,0.1625178648173452,0.1445905688029538,0.3674937282609973,0.2461393090615764,0.7529691211401425,0.12219852453402176,0.24529520372697555
sector_excess_rank_target,sector_excess_rank_target,large_cap,2076,10,-0.01614367853285459,0.1257406762815663,0.14131191559026937,0.37203332700385777,0.25154630366048986,0.7884615384615384,0.17236959462409626,0.1996637323797615
baseline_rank_target,rank_target,large_cap,2101,10,-0.037110080825025316,0.07737842462507577,0.07216342255026693,0.3270084456592491,0.2221246159171626,0.7505938242280285,0.20113234089355353,0.12587610476569555
valuation_raw_return,raw_return,mid_cap,2302,10,0.021840729919651358,0.23369203509455566,0.23369203509455566,0.2766371917352425,0.1882108980022794,0.7114967462039046,0.036380486021948356,0.24025670571329413
spy_excess_raw_return,spy_excess_return,mid_cap,2302,10,-0.011887988818477524,0.22386196418229543,0.16837247758097001,0.24218379005530472,0.1755074599484711,0.7180043383947939,0.04212580135273021,0.20005798870257452
valuation_top_quintile_target,top_quintile_target,mid_cap,2302,10,-0.0342333073883736,0.20524475151337912,0.0789241695049229,0.2921524059101817,0.2150194118909556,0.7440347071583514,0.061345712032459664,0.23080669387772204
valuation_rank_target,rank_target,mid_cap,2302,10,-0.04016720570601273,0.1786475889431297,0.10441030077773737,0.24176615392063075,0.1855733998200879,0.7396963123644251,0.06639517975464031,0.17537097416599046
baseline_raw_return,raw_return,mid_cap,2302,10,-0.004849063539786425,0.17785889076272715,0.17785889076272715,0.2481862869238391,0.1393621531753301,0.6984815618221258,0.06339108748280829,0.1847951994410308
sector_excess_raw_return,sector_excess_return,mid_cap,2284,10,-0.004877161309101652,0.16926067933894087,0.15381858295399925,0.21915820799165142,0.1500365585531708,0.7024070021881839,0.067937437699211,0.1512207702924404
sector_excess_rank_target,sector_excess_rank_target,mid_cap,2284,10,-0.022151109399306534,0.1564652978026305,0.11940074360706873,0.22356606652424124,0.1753899204191611,0.7352297592997812,0.07656351726508247,0.1470025492591588
baseline_top_quintile_target,top_quintile_target,mid_cap,2302,10,-0.044024394306433345,0.13861372389616494,0.028521840356370096,0.2801585558471299,0.1952597756866758,0.7266811279826464,0.08598408389245253,0.19417447195467735
baseline_rank_target,rank_target,mid_cap,2302,10,-0.06476336112605119,0.07733535012235934,-0.020110780850706327,0.19082908612341962,0.1340101006690146,0.6919739696312365,0.1402928016747888,0.050536284448630814
